species_name,establishment_light_environment_index,plant_tolerance_snow,fire_time_from_fire_to_fruiting,parasitic,reproductive_maturity,vegetative_reproduction_ability,plant_tolerance_calcicole,seedbank_location,clonal_spread_mechanism,seed_viability,lifespan,post_fire_flowering,plant_height,flowering_cues,fire_time_from_fire_to_flowering,pollination_syndrome,pollination_system,life_history_ephemeral_class,flowering_time,fire_time_from_fire_to_flowering_decline,plant_tolerance_salt,plant_type_by_resource_use,serotiny,plant_climbing_mechanism,resprouting_capacity_non_fire_disturbance,dispersal_syndrome,flower_colour,seedbank_longevity_class,nitrogen_fixing,plant_tolerance_soil_salinity,fruit_colour,post_fire_recruitment,seed_germination,seedbank_longevity,resprouting_capacity,root_structure,seed_dormancy_class,plant_growth_substrate,plant_tolerance_fire,seed_germination_treatment,seedling_germination_location,resprouting_capacity_juvenile,sex_type,bud_bank_location,seedling_establishment_conditions,plant_flood_regime_classification,plant_physical_defence_structures,sprout_depth,plant_tolerance_inundation,flower_structural_sex_type,resprouting_capacity_proportion_individuals,stem_growth_habit,fruiting_time,seed_germination_time,plant_tolerance_water_logged_soils,fire_time_from_fire_to_50_percent_flowering,recruitment_time,leaf_type,reproductive_light_environment_index,fire_time_from_fire_to_50_percent_fruiting,fire_time_from_fire_to_peak_flowering,storage_organ,competitive_stratum,ploidy,root_system_type,life_history,germination_treatment,dispersers,plant_growth_form,dispersal_unit,resprouting_capacity_time_from_germination,genome_size
Acacia boormanii subsp. boormanii,,,,,,,,,,,,,1 (1); 4 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bushy (1),,,,,,,,,,,,,,perennial (3),,,shrub (3),,,
Acacia boormanii subsp. gibba,,,,,,,,,,,,,4 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bushy (1),,,,,,,,,,,,,,perennial (3),,,shrub (3),,,
Acacia brownii,,not_applicable (2),,not_parasitic (2),5--20 (2),not_vegetative (2),,soil_seedbank (1),,,<50 (2),,0.3 (1); 1 (5),,,insect (3),,,nnnnnnnnynnn (2); nnnnnnnyynnn (1); nnnnnnnyyyyn (2); nnnnnnyyyyyn (4),,glycophyte (2),,,,,barochory (1); endozoochory (1); myrmecochory (1); zoochory (2),yellow_orange (1),persistent (3),nitrogen_fixer (2),,,post_fire_recruitment (1),,2-- (2),fire_killed (3); resprouts (2),,physical_dormancy (1),,,heat (1),,,andromonoecious (1),basal_buds (1); basal_stem_buds (2),,,sharp_pointed_defence (2),,not_applicable (2),,,erect (1); prostrate (2); sprawling (2); spreading (1),,,not_applicable (2),,,,,,,,,,,perennial (5),,ants (1); invertebrates (2); passive (1); vertebrates (1),shrub (10); tree (1),,,
Acacia burkittii,,not_applicable (2),,not_parasitic (2),5--20 (2),not_vegetative (2),,soil_seedbank (1),,,50-500 (2),,1 (3); 1.5 (1); 4 (2); 7 (1); 8 (1),,,insect (3),,,nnnnnnyyyynn (3); yyyyyyyyyyyy (1),,salinity_tolerance_undefined (2),,,,,barochory (1); endozoochory (1); myrmecochory (1); zoochory (2),yellow_orange (1),persistent (3),nitrogen_fixer (3),,brown (1),post_fire_recruitment (1),,2-- (2),fire_killed (3); resprouts (1),,physical_dormancy (1),,,heat (1); imbibe_hot (1),,,andromonoecious (1),none (1),,,absent (2),,not_applicable (2),,,erect (1); spreading (1),,11 (1); 13 (1); 8 (1),not_applicable (2),,,,,,,,,,,perennial (6),,ants (1); invertebrates (2); passive (1); vertebrates (1),shrub (10); tree (4),,,
Acacia buxifolia,,,,,2 (1),,,soil_seedbank (1),,,50--100 (1),,1 (1); 2 (1); 4 (3),,24 (2),insect (1),,,nnnnnnyyyyyn (3),,,,,,,ballistic (1); myrmecochory (1),yellow_orange (1),long_persistent (1); persistent (1),,,,post_fire_recruitment (4),0.89 (1); 0.95 (1),10-- (1),fire_killed (1); resprouts (4),,physical_dormancy (1),,,heat (1),,juvenile_fire_killed (1),andromonoecious (1),basal_stem_buds (1); bud-bearing_root (1),establish_post_fire (1),,,,,,,erect (1); spreading (1),,,,,,,,,,,,,,perennial (5),,ants (1),shrub (6); tree (1),,,
Acacia buxifolia subsp. buxifolia,,days (1),,not_parasitic (1),5--20 (1),vegetative (1),,,,,50-500 (1),,2 (2),,,insect (1),,,nnnnnnnnyyyy (1),,salinity_tolerance_undefined (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),,persistent (1),nitrogen_fixer (1),,,post_fire_recruitment (1),,2-- (1),resprouts (2),,,,,imbibe_hot (1),,,,basal_stem_buds (1),,,absent (1),,not_applicable (1),,,,,,not_applicable (1),,,,,,,,,,,perennial (3),,invertebrates (1),shrub (4),,,
Acacia buxifolia subsp. pubiflora,,days (1),24 (1),not_parasitic (1),5 (1); 5--20 (1),vegetative (1),,soil_seedbank (1),,,50-500 (1),,3.5 (1),,,insect (1),,,nnnnnnnnyyyy (1); nnnnnnyyyyyn (1),,salinity_tolerance_undefined (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),,persistent (2),nitrogen_fixer (1),,,post_fire_recruitment_absent (1),,2-- (1),resprouts (3),,,,,heat (1),,,,basal_buds (1); basal_stem_buds (1),,,absent (1),,not_applicable (1),,,,,,not_applicable (1),,,,,,,,,,,perennial (2),,invertebrates (1),shrub (5),,,
Acacia bynoeana,,,,,,,,,,,,,0.3 (2); 0.5 (1),,,,,,yynnnnnnnnny (2),,,,,,,,yellow_orange (1),,,,,,,,,,physical_dormancy (1),,,,,,andromonoecious (1),,,,,,,,,decumbent (2),,,,,,,,,,,,,,perennial (4),,,shrub (4),,,
Acacia cultriformis,,,,,,,,,,0.87 (1); 0.96 (1),,,4 (4),,,insect (1),,,nnnnnnnyyyyn (1),,,,,,,ballistic (1); myrmecochory (1),yellow_orange (1),,,,,post_fire_recruitment (1),0.8 (1); 0.9 (1); 1 (2),,resprouts (1),,physical_dormancy (1),,,,,,andromonoecious (1),basal_stem_buds (1),,,,,,,,erect (2); spreading (2),,,,,,,,,,,,,,perennial (5),,ants (1),shrub (5),,,
Acacia dealbata,,days (1); weeks (1),,not_parasitic (1),5 (4); 5--20 (1); 6 (1),not_vegetative (1); vegetative (2),,soil_seedbank (5),non_clonal (1); root_buds (1),0.83 (1); 0.889 (1),20 (1); 50--100 (1); >500 (1),,1.5 (1); 12 (1); 15 (1); 23.4 (1); 30 (8); 33 (1),,,insect (2),biotic_unspecialised (1),,nnnnnnnyyynn (1); nnnnnnyyyynn (1); nnnnnnyyyyyn (2),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),ballistic (1); myrmecochory (4); zoochory (2),yellow_orange (1),long_persistent (1); persistent (2),nitrogen_fixer (4),,blue (1); brown (2); purple (3); white (1),post_fire_recruitment (5); post_fire_recruitment_absent (1),0.376 (1); 0.56 (1); 0.8 (1); 0.9 (1),10-- (1); 2-- (1),fire_killed (8); partial_resprouting (4); resprouts (4),ectomycorrhizal (2),,,,heat (1); imbibe_hot (2); scarify (1),,juvenile_fire_killed (1),andromonoecious (1); hermaphrodite (1); monoecious (1),basal_buds (3); basal_stem_buds (1); bud-bearing_root (2); none (8),establish_anytime (1),,absent (1),,less_than_1_month (1),,0 (4); 0.197 (1); 0.222222222222222 (1); 0.4 (1); 0.5 (1); 0.631578947368421 (1),bushy (1); erect (1); spindly (1); spreading (1),,,1-6_months (1); less_than_1_month (1),,,broadleaf (1),,,,,,,,perennial (11),,ants (1); invertebrates (1),shrub (7); tree (14),,,1.78 (1)
